,start,end,latitude,longitude,MODISProduct,gmail,sitenickName,abovebelow,leftright,siteName,LINK
0,2015-01-01,2021-01-01,60.72,-150.45,MCD15A3H,landcovermodis@gmail.com,AKK2E,18,18,AK_Kenai_29_ENE,https://modis.ornl.gov/subsetdata/20May2021_12:22:13_795453100L60.72L-150.45S73L73_MCD15A3H_AKK2E/statistics_Lai_500m.csv
1,2015-01-01,2021-01-01,30.55,-87.88,MCD15A3H,landcovermodis@gmail.com,ALF3N,18,18,AL_Fairhope_3_NE,https://modis.ornl.gov/subsetdata/20May2021_12:22:18_493103954L30.55L-87.88S73L73_MCD15A3H_ALF3N/statistics_Lai_500m.csv
2,2015-01-01,2021-01-01,34.29,-85.96,MCD15A3H,landcovermodis@gmail.com,ALG1N,18,18,AL_Gadsden_19_N,https://modis.ornl.gov/subsetdata/20May2021_12:22:20_899650848L34.29L-85.96S73L73_MCD15A3H_ALG1N/statistics_Lai_500m.csv
3,2015-01-01,2021-01-01,32.46,-87.24,MCD15A3H,landcovermodis@gmail.com,ALS1W,18,18,AL_Selma_13_WNW,https://modis.ornl.gov/subsetdata/20May2021_12:22:23_697973216L32.46L-87.24S73L73_MCD15A3H_ALS1W/statistics_Lai_500m.csv
4,2015-01-01,2021-01-01,35.82,-91.78,MCD15A3H,landcovermodis@gmail.com,ARB8W,18,18,AR_Batesville_8_WNW,https://modis.ornl.gov/subsetdata/20May2021_12:22:25_869695314L35.82L-91.78S73L73_MCD15A3H_ARB8W/statistics_Lai_500m.csv
5,2015-01-01,2021-01-01,31.59,-110.51,MCD15A3H,landcovermodis@gmail.com,AZE5S,18,18,AZ_Elgin_5_S,https://modis.ornl.gov/subsetdata/20May2021_12:22:30_323771884L31.59L-110.51S73L73_MCD15A3H_AZE5S/statistics_Lai_500m.csv
6,2015-01-01,2021-01-01,32.24,-111.17,MCD15A3H,landcovermodis@gmail.com,AZT1W,18,18,AZ_Tucson_11_W,https://modis.ornl.gov/subsetdata/20May2021_12:22:32_531797962L32.24L-111.17S73L73_MCD15A3H_AZT1W/statistics_Lai_500m.csv
7,2015-01-01,2021-01-01,35.76,-112.34,MCD15A3H,landcovermodis@gmail.com,AZW3N,18,18,AZ_Williams_35_NNW,https://modis.ornl.gov/subsetdata/20May2021_12:22:35_070833572L35.76L-112.34S73L73_MCD15A3H_AZW3N/statistics_Lai_500m.csv
8,2015-01-01,2021-01-01,32.84,-114.19,MCD15A3H,landcovermodis@gmail.com,AZY2E,18,18,AZ_Yuma_27_ENE,https://modis.ornl.gov/subsetdata/20May2021_12:22:37_196815726L32.84L-114.19S73L73_MCD15A3H_AZY2E/statistics_Lai_500m.csv
9,2015-01-01,2021-01-01,38.32,-123.07,MCD15A3H,landcovermodis@gmail.com,CAB6W,18,18,CA_Bodega_6_WSW,https://modis.ornl.gov/subsetdata/20May2021_12:22:39_782467374L38.32L-123.07S73L73_MCD15A3H_CAB6W/statistics_Lai_500m.csv
10,2015-01-01,2021-01-01,33.44,-117.19,MCD15A3H,landcovermodis@gmail.com,CAF5N,18,18,CA_Fallbrook_5_NE,https://modis.ornl.gov/subsetdata/20May2021_12:22:42_693891598L33.44L-117.19S73L73_MCD15A3H_CAF5N/statistics_Lai_500m.csv
